country,hdi_rank_2019,hdi_cat_2019,hdi_2019,maternal_mortality_ratio_2017,adolescent_birth_rate_2015_2020,female_parliament_2019,seconday_educ_female_2015_2019,secondary_educ_male_2015_2019,labour_force_participation_female_2019,labour_force_participation_male_2019,life_expectancy_2019,schooling_expectancy_2019,schooling_mean_2019,gross_national_income_2019
Iraq,123,medium,0.674,79,71.7,25.2,39.5,56.5,11.6,74.2,70.6,11.3,7.3,10801
El Salvador,124,medium,0.673,46,69.5,31,39.9,46.4,45.3,75.7,73.3,11.7,6.9,8359
Tajikistan,125,medium,0.668,17,57.1,20,93.3,95.7,31.3,52.8,71.1,11.7,10.7,3954
Cabo Verde,126,medium,0.665,58,73.8,23.6,28.8,31.2,53.3,67.6,73,12.7,6.3,7019
Guatemala,127,medium,0.663,95,70.9,19.4,38.6,37.5,39.9,86.3,74.3,10.8,6.6,8494
Nicaragua,128,medium,0.66,98,85,44.6,48.5,46.8,49.7,84.2,74.5,12.3,6.9,5284
Bhutan,129,medium,0.654,183,20.2,15.3,23.3,31.4,58.9,73.4,71.8,13,4.1,10746
Namibia,130,medium,0.646,195,63.6,37,40.6,42,56.1,63.3,63.7,12.6,7,9357
India,131,medium,0.645,133,13.2,13.5,27.7,47,20.5,76.1,69.7,12.2,6.5,6681
Honduras,132,medium,0.634,65,72.9,21.1,32.2,29.6,52,85.9,75.3,10.1,6.6,5308
Bangladesh,133,medium,0.632,173,83,20.6,39.8,47.5,36.3,81.4,72.6,11.6,6.2,4976
Kiribati,134,medium,0.63,92,16.2,6.5,NA,NA,NA,NA,68.4,11.8,8,4260
Sao Tome and Principe,135,medium,0.625,130,94.6,14.5,31.5,45.8,41.4,74.4,70.4,12.7,6.4,3952
Micronesia (Federated States of),136,medium,0.62,88,13.9,0,NA,NA,NA,NA,67.9,11.5,7.8,3983
Lao People's Democratic Republic,137,medium,0.613,185,65.4,27.5,35.1,46.2,76.7,80.2,67.9,11,5.3,7413
Eswatini (Kingdom of),138,medium,0.611,437,76.7,12.1,31.3,33.9,48.5,56.8,60.2,11.8,6.9,7919
Ghana,138,medium,0.611,308,66.6,13.1,55.7,71.6,63.6,71.9,64.1,11.5,7.3,5269
Vanuatu,140,medium,0.609,72,49.4,0,NA,NA,61,78.8,70.5,11.7,7.1,3105
Timor-Leste,141,medium,0.606,142,33.8,38.5,NA,NA,61.9,72.7,69.5,12.6,4.8,4440
Nepal,142,medium,0.602,186,65.1,33.5,29.3,44.2,82.8,85.1,70.8,12.8,5,3457
Kenya,143,medium,0.601,342,75.1,23.3,29.8,37.3,72.1,77.3,66.7,11.3,6.6,4244
Cambodia,144,medium,0.594,160,50.2,19.3,15.1,28.2,76.3,88.9,69.8,11.5,5,4246
Equatorial Guinea,145,medium,0.592,301,155.6,19.2,NA,NA,54.8,67.1,58.7,9.7,5.9,13944
Zambia,146,medium,0.584,213,120.1,18,38.5,54.1,70.4,79.1,63.9,11.5,7.2,3326
Myanmar,147,medium,0.583,250,28.5,11.6,28.7,23.5,47.5,77.4,67.1,10.7,5,4961
Angola,148,medium,0.581,241,150.5,30,23.1,38.1,76.1,78.9,61.2,11.8,5.2,6104
Congo,149,medium,0.574,378,112.2,13.6,46.7,51.3,67.5,71.4,64.6,11.7,6.5,2879
Zimbabwe,150,medium,0.571,458,86.1,34.6,59.8,70.8,78.1,89,61.5,11,8.5,2666
Solomon Islands,151,medium,0.567,104,78,4.1,NA,NA,82.1,85.6,73,10.2,5.7,2253
Syrian Arab Republic,151,medium,0.567,31,38.6,13.2,37.1,43.4,14.4,74.1,72.7,8.9,5.1,3613
Cameroon,153,medium,0.563,529,105.8,29.3,32.7,41.3,71.1,81.1,59.3,12.1,6.3,3581
Pakistan,154,medium,0.557,140,38.8,20,27.6,45.7,21.9,81.7,67.3,8.3,5.2,5005
Papua New Guinea,155,medium,0.555,145,52.7,0,10,15.2,46.3,48,64.5,10.2,4.7,4301
Comoros,156,medium,0.554,273,65.4,6.1,NA,NA,36.6,49.9,64.3,11.2,5.1,3099
Mauritania,157,low,0.546,766,71,20.3,12.7,25,28.9,63.1,64.9,8.6,4.7,5135
Benin,158,low,0.545,397,86.1,7.2,18.3,33.9,68.8,73,61.8,12.6,3.8,3254
Uganda,159,low,0.544,375,118.8,34.9,27.5,35.1,67,73.9,63.4,11.4,6.2,2123
