"countyfips","gps_workplaces"
18145,-0.191
18147,-0.141
18149,-0.0486
18151,-0.0129
18153,-0.0114
18155,NA
18157,-0.204
18159,-0.18
18161,NA
18163,-0.16
18165,-0.0386
18167,-0.169
18169,-0.0729
18171,NA
18173,-0.144
18175,-0.00286
18177,-0.0886
18179,-0.151
18181,-0.0929
18183,-0.24
19001,NA
19005,NA
19007,NA
19011,-0.0886
19013,-0.0886
19015,-0.163
19017,-0.103
19019,-0.141
19021,-0.231
19023,NA
19025,NA
19027,NA
19029,NA
19031,-0.13
19033,-0.149
19035,NA
19037,NA
19039,NA
19041,-0.12
19043,NA
19045,0.00571
19047,-0.259
19049,-0.173
19051,NA
19053,NA
19055,NA
19057,-0.0814
19059,NA
19061,-0.0986
19063,NA
19065,-0.103
19067,-0.154
19069,NA
19071,-0.119
19073,NA
19075,NA
19077,NA
19079,-0.07
19081,NA
19083,-0.0657
19085,-0.184
19087,-0.106
19089,NA
19091,NA
19093,NA
19095,-0.0386
19097,-0.209
19099,-0.163
19101,NA
19103,-0.2
19105,-0.0857
19107,NA
19109,-0.139
19111,-0.164
19113,-0.163
19115,NA
19117,NA
19119,NA
19121,NA
19123,-0.189
19125,-0.136
19127,-0.201
19129,NA
19131,NA
19133,NA
19135,NA
19137,NA
19139,-0.0771
19141,NA
19143,NA
19145,-0.0514
19147,NA
19149,-0.0757
19151,NA
19153,-0.169
19155,-0.139
19157,-0.0714
19161,NA
19163,-0.167
19165,NA
19167,-0.0886
19169,-0.204
19171,0.04
19173,NA
19175,NA
19177,NA
19179,-0.109
19181,-0.174
19183,-0.0857
19185,NA
19187,-0.134
19189,NA
19191,-0.176
19193,0.0357
19195,NA
19197,NA
20001,-0.183
20003,NA
20005,NA
20009,-0.0943
20011,NA
20013,NA
20015,-0.191
20021,-0.0729
20027,NA
20029,NA
20031,-0.147
20035,-0.0857
20037,-0.0629
20041,0.0457
20043,NA
20045,-0.2
20051,-0.0114
20053,NA
20055,-0.104
20057,-0.109
20059,-0.0971
20061,-0.0843
20067,NA
20073,NA
20079,-0.0357
20085,NA
20087,NA
20091,-0.229
20095,NA
20099,-0.129
20103,-0.154
20107,NA
20111,-0.116
20113,-0.191
20115,NA
20117,NA
20121,-0.09
20123,NA
20125,-0.0443
20127,NA
20131,NA
20133,-0.0571
20139,NA
20143,NA
20145,NA
20149,-0.139
20151,NA
20155,-0.231
20159,NA
20161,-0.173
20167,NA
20169,-0.131
20171,NA
20173,-0.127
20175,-0.296
20177,-0.131
20191,-0.144
20193,NA
20197,NA
20201,NA
20205,NA
20209,-0.129
21001,NA
21003,-0.0271
21005,-0.08
21007,NA
21009,-0.159
21011,NA
21013,-0.106
21015,-0.191
21017,-0.214
21019,-0.186
21021,-0.0714
21023,NA
21025,NA
21027,NA
21029,-0.179
21031,NA
21033,NA
21035,-0.0743
21037,-0.299
21041,NA
21043,-0.0886
21045,NA
21047,-0.179
21049,-0.149
21051,NA
21055,NA
21059,-0.246
21061,NA
21065,NA
21067,-0.189
21069,NA
21071,-0.201
21073,-0.201
21075,NA
21077,-0.13
21079,-0.286
21081,-0.226
21083,-0.124
21085,-0.173
21087,NA
21089,-0.0757
21091,NA
21093,-0.206
21095,NA
21097,-0.263
21099,-0.114
21101,-0.13
21103,-0.21
21107,-0.0729
21109,NA
21111,-0.251
21113,-0.186
21115,NA
21117,-0.35
21121,-0.0871
21123,NA
21125,-0.179
21127,NA
21133,NA
21135,NA
21137,-0.09
21139,NA
21141,-0.164
21143,NA
21145,-0.144
21147,NA
21149,NA
21151,-0.209
21155,NA
21157,-0.169
21161,-0.133
21163,-0.219
21167,-0.161
21169,NA
21171,NA
21173,-0.174
21175,NA
21177,-0.0929
21179,-0.226
21181,NA
21183,-0.209
21185,-0.189
21187,NA
21191,NA
21193,NA
