"countyfips","vaccine_rate","fullvaccine_rate"
51177,47.4,41.6
51179,53.9,47.8
51181,54.4,48.7
51183,39.1,33.2
51185,43.8,37.1
51187,41.1,35.1
51191,58.4,51
51193,47.6,43
51195,49.6,40
51197,41.2,34.6
51199,57.8,50.9
51510,63.8,55.6
51520,68.8,59.5
51530,40.9,36.7
51540,53.8,47.4
51550,46.3,40.9
51570,41,35.9
51580,40.4,33.6
51590,38.8,33.3
51595,38.6,32.3
51600,62,55.8
51610,60.3,54
51620,43.5,36.6
51630,42,37.7
51640,40.7,36.8
51650,61.9,52.4
51660,41.4,37.3
51670,34.6,29.4
51678,42.7,38.7
51680,35,30.2
51683,54,46.4
51685,48.3,41.5
51690,44.9,39
51700,53.1,46.3
51710,52.2,45.8
51720,39.7,30.8
51730,38.9,33.1
51735,49.1,43.4
51740,89.6,79.1
51750,39.2,34.3
51760,45.3,40.4
51770,45.6,39.1
51775,50.5,46.5
51790,50.1,46.1
51800,50.6,44.2
51810,57.4,50.7
51820,47.1,42.1
51830,44,38.6
51840,48.6,41
53001,54.1,48.1
53003,39.7,36.1
53005,53.1,47.6
53007,67.8,61.3
53009,65.5,60.8
53011,61.4,55.9
53013,46.8,41.3
53015,56.5,50.9
53017,58.9,53.1
53019,53.5,47.9
53021,47.9,41.9
53023,45.4,33.6
53025,52.7,47.4
53027,56,50.8
53029,66.1,57.3
53031,73.9,70.3
53033,74.7,69.9
53035,64.4,56.4
53037,52.6,47.5
53039,46.5,43
53041,49.1,43.8
53043,49.4,46
53045,57.2,51.8
53047,65.5,60.2
53049,54.6,49
53051,39.4,34.5
53053,60.5,54.2
53055,77.3,73.3
53057,63.8,58.1
53059,36.4,34.1
53061,65.1,60.1
53063,58.2,52.3
53065,38.3,33.8
53067,62,57
53069,47.8,44.8
53071,61.3,55.4
53073,69,63.3
53075,46.5,40.3
53077,58.7,51.6
54001,10.9,6.66
54003,38.4,30.2
54005,37.4,30.3
54007,16.1,12.2
54009,27,21.4
54011,28.2,21.7
54013,16.7,12.4
54015,30,23.4
54017,7.23,4.25
54019,33.7,26.3
54021,46,39.9
54023,16.3,13.5
54025,40.6,34
54027,27.7,22.4
54029,28.4,22.7
54031,27.7,24
54033,26,20.8
54035,22.3,17.6
54037,41.4,31.3
54039,41.6,31.1
54041,34,29.5
54043,21.9,16.4
54045,38.7,30
54047,30.3,22.6
54049,14.5,8.91
54051,13.5,10.6
54053,40,32.4
54055,47.8,38.4
54057,38.6,33.4
54059,29.7,23.5
54061,19.5,15.6
54063,33.6,29.3
54065,8.85,5.49
54067,37,29.9
54069,17.4,12.4
54071,43.7,37.1
54073,17.6,13.3
54075,27.9,23.7
54077,37.3,32
54079,23.9,16.8
54081,28.1,21.3
54083,34,28.2
54085,24.5,19.1
54087,8.56,5.17
54089,21.7,17.6
54091,6.76,4.35
54093,34.4,30.2
54095,22.4,18.4
54097,12.7,8.28
54099,36.8,30
54101,36.8,30.7
54103,14.2,10.5
54105,8.98,5.82
54107,46.9,39.2
54109,42.9,35.8
55001,53.8,50.1
55003,65.8,60.9
55005,50.8,47.3
55007,78,73.5
55009,59.8,56.1
55011,48.1,44.7
55013,55.4,50.5
55015,52.2,49.4
55017,53.7,50.3
55019,34.7,32.7
55021,62.9,59.1
55023,54.3,51.3
55025,77.2,72.9
55027,48.9,45.5
55029,74.3,70.1
55031,44.2,37.6
55033,45.6,43.1
55035,57.4,54.8
55037,42.8,40.8
55039,52.4,48.6
55041,56.6,52
55043,52.3,49.2
55045,59.6,57
55047,52.1,48.6
55049,65.2,61.9
55051,55.5,51.7
55053,47.2,43.9
55055,53.8,50.5
55057,51,46.3
55059,56.4,51.8
55061,48.7,45.9
55063,64.2,60.4
55065,56.8,53.5
55067,50.7,47.9
55069,52.3,49.2
55071,56.7,53.3
55073,56.2,52.7
55075,48.2,44.8
55077,50.3,47.5
55078,70.4,66.6
55079,60.2,54.5
55081,50,45.9
55083,49.8,47
55085,61.9,59
55087,59.7,56
55089,67.8,63.5
55091,47.1,44.5
55093,42.2,39
55095,48.6,45
55097,58.6,54.7
55099,58.2,55
55101,56.9,52.3
55103,56.1,52.4
55105,65.7,60.4
55107,39.1,36.1
55109,47,43
55111,60,56
55113,56.5,52.3
55115,50.1,46.5
55117,57.4,54
55119,32.9,31.1
55121,61.3,57.2
55123,51.9,49.1
55125,61.5,57.7
55127,51.4,47.3
55129,60.7,56.9
55131,54.4,50.9
55133,66,61.6
55135,50.7,47.4
55137,42,39.3
55139,57.2,53.6
55141,57.9,53.9
56001,52.9,46.8
56003,36.4,31.3
56005,29,23.9
56007,46.3,38.2
56009,32,27.9
56011,28.8,24.5
56013,62.8,51.2
56015,36.6,33.5
56017,45.3,42.1
56019,41.4,36.9
56021,53,45.9
56023,39.4,33.8
56025,43.8,37.1
56027,28.5,25
56029,45.1,39.7
56031,38.3,35.3
56033,49.3,43.6
56035,34.9,27.7
56037,46,37.1
56039,89.6,79.5
56041,46.8,39.9
56043,39.5,35.3
56045,34.7,30.9
2060,NA,NA
2105,NA,NA
2164,NA,NA
2282,NA,NA
