"countyfips","vaccine_rate","fullvaccine_rate"
13283,19,14.3
13285,21.3,19.5
13287,23.7,20.2
13289,15,11.5
13291,14.2,12.3
13293,39.5,34.4
13295,26.5,21.9
13297,24.2,21.6
13299,26.7,22.2
13301,19.4,16.1
13303,17.1,13.7
13305,34.4,28.6
13307,20.4,17.9
13309,12,9.57
13311,11.6,10.3
13313,24,20.8
13315,16.1,12.8
13317,17.9,16.5
13319,24.6,20.3
13321,18.2,15.9
16001,55.8,50.6
16003,41.2,37
16005,45.9,40.6
16007,41.6,37.9
16009,47,41.6
16011,41.4,36.7
16013,74.5,66.8
16015,32.2,27.6
16017,40.3,36
16019,45.2,40.2
16021,31.4,28.6
16023,42.6,37.2
16025,39.8,35.3
16027,40,34.8
16029,34.4,31.4
16031,34.4,29.2
16033,35.5,32
16035,40.1,36.2
16037,43.4,39
16039,51.8,36.4
16041,38.6,34.3
16043,40.3,35.4
16045,37.9,32.8
16047,38.3,33.3
16049,28.2,25.4
16051,35.9,31.3
16053,38.8,33.4
16055,42.6,37
16057,53,47.9
16059,43.8,39.5
16061,46.7,41
16063,36.8,32
16065,48.8,40.9
16067,35.7,31.4
16069,49.9,44.5
16071,38.9,34.2
16073,31,26.2
16075,29.7,26.2
16077,44.8,40.6
16079,40.6,36.6
16081,58.5,52
16083,43.1,38.1
16085,57.1,51.6
16087,38.4,33.6
17001,54.1,44.7
17003,32.8,25.3
17005,53.9,44.5
17007,61.5,47.6
17009,37.1,30.9
17011,61.3,45.6
17013,51.3,46.6
17015,61.2,53
17017,57.7,49.7
17019,66.2,53.5
17021,48,39.4
17023,50.5,37.5
17025,39.3,32.3
17027,55.1,45.9
17029,46.6,37.8
17031,72.1,56.1
17033,49.4,42.5
17035,40.5,30.5
17037,58.5,44.1
17039,52.5,43.8
17041,48.1,39.7
17043,76.6,61.5
17045,48.9,37.9
17047,39.5,34
17049,51.5,38
17051,35.6,26.8
17053,56.7,46.1
17055,46.8,35.8
17057,55,44.4
17059,55.2,44.7
17061,42.3,36.3
17063,61.1,43.8
17065,39.6,32.7
17067,49,40.1
17069,43.7,35.4
17071,48,40.7
17073,59.2,49.2
17075,49.1,41.8
17077,55.9,41
17079,47.2,31.4
17081,44.6,35.2
17083,56,47.9
17085,79.4,67
17087,43.3,33
17089,67.8,51.8
17091,50.5,40.8
17093,69,52.4
17095,57.9,46.4
17097,75.7,59.2
17099,59.6,45.8
17101,39.2,29.6
17103,55.8,44.9
17105,50.8,37.9
17107,51.9,41.9
17109,51.9,39.7
17111,66.8,52.6
17113,65.4,51.5
17115,53.6,42.6
17117,56,44.8
17119,62.8,48.6
17121,45.1,36.7
17123,58,46.4
17125,54.7,43.2
17127,41.9,31.3
17129,57.4,48.8
17131,60.5,48.2
17133,60.7,50.8
17135,50.9,40.2
17137,55.2,44.5
17139,42,36
17141,57.7,46.4
17143,60.1,50.9
17145,46.7,36.1
17147,56.8,48.4
17149,40.4,34.6
17151,33.9,26.9
17153,43.4,32.2
17155,59.4,47.5
17157,48.6,39.4
17159,46.6,40.1
17161,64.4,47.4
17163,64.1,49.3
17165,49.5,39
17167,65.7,54.8
17169,56.2,49.3
17171,41.5,36.3
17173,40.7,34.6
17175,52.6,45.6
17177,59.3,50.8
17179,58.9,50.1
17181,57,45.7
17183,40.2,32.9
17185,49.1,42.6
17187,50.1,42.5
17189,56.8,47.6
17191,42.3,34.6
17193,50.3,40.7
17195,60.5,47
17197,68.9,53.1
17199,57.6,43.7
17201,58.8,46.3
17203,54.4,46.4
18001,32.4,30.2
18003,50.5,47
18005,56.6,53
18007,39.6,37.9
18009,43.4,40.7
18011,66.5,62.9
18013,49,45.7
18015,32.8,30.6
18017,43.8,39.6
18019,59.1,54.2
18021,54.5,50.1
18023,45.8,42.2
18025,36.7,33.3
18027,31.8,29.2
18029,58,53.1
18031,46.2,43.1
18033,41.2,38.4
18035,46.5,43.3
18037,54.7,51
18039,41.1,37.5
18041,37.6,34.5
18043,55.7,51.5
18045,44.9,41.5
18047,35.4,32.5
18049,39,36.3
18051,46.2,42.1
18053,40.8,37.6
18055,39.4,36.3
18057,67.2,63.7
18059,64,60.6
18061,50.1,45.7
18063,68.6,64.2
18065,50.3,46.7
18067,45.8,42.3
18069,48.8,45.8
18071,51.4,47
18073,45.3,41.3
18075,37.5,34.2
18077,53.9,50.5
18079,39.2,35.7
18081,56.5,52.1
18083,48.4,45
18085,39.4,36.6
18087,21.4,20
18089,54,49.5
18091,54,50.3
18093,47.8,44.1
18095,50.2,46.7
18097,53.5,49
18099,43.4,40
18101,45.9,43.2
18103,39.5,36.5
18105,56.9,53.9
18107,44.2,41.1
18109,52.1,48.3
18111,30.3,28.1
18113,37.7,34.8
18115,73.2,67.7
18117,54.1,49.8
18119,41.3,38.6
18121,38.4,35.9
18123,55.5,51.4
18125,56.6,52
18127,54.6,51.1
18129,46.2,42.9
18131,43.7,40.6
18133,41.1,38.3
18135,43.6,39.4
18137,45.7,42.4
18139,45.4,42.2
18141,55.7,52.1
18143,43.3,39.9
18145,55.5,51.2
18147,43.5,40.1
18149,35.5,32.7
18151,45.6,43
18153,48.3,44.3
18155,30.2,27.7
18157,55.1,51.9
18159,44,40.9
18161,47.2,43.6
18163,56.1,52.1
18165,45.3,41.6
18167,48.2,44.7
18169,40.8,37.8
18171,43.5,40.7
18173,60.8,56.7
18175,39.6,36.3
18177,47.3,43.2
18179,40.9,37.9
18181,52.7,49.3
18183,45.9,43.1
19001,47.2,44
19003,51.4,48.2
19005,51,47.3
19007,44.7,41.3
19009,55.6,53.4
19011,54.7,51.5
19013,57.1,52.9
19015,60.3,57.3
19017,56.6,53.5
19019,51,48.3
19021,63.3,58.2
19023,55.2,52.3
19025,56.7,53.3
19027,58.5,55.8
19029,55.6,52.5
19031,56.5,53.7
19033,60.1,56.3
19035,51.5,48.1
19037,51.6,48.7
19039,51.3,48.1
19041,50.3,46.8
19043,46,43.7
19045,52.1,48.2
19047,50.9,47.6
19049,61.1,57.3
