class,joindem,attrally,id,age,educ,degree,sex,polviews,racespeech,racehisp,num_action
Working,No But I Might,No But I Might,1801,64,12,HS Diploma,Male,4,Not allowed,White,3
Middle,No And I Will Not,No And I Will Not,1808,65,11,Less Than HS,Male,4,Not allowed,White,2
Working,No And I Will Not,No And I Will Not,1815,78,13,HS Diploma,Female,4,Not allowed,White,2
Middle,No And I Will Not,No And I Will Not,1816,42,16,College Degree,Female,2,Allowed,White,1
Working,In Past Year,Before Last Year,1819,34,12,HS Diploma,Female,4,Not allowed,White,7
Working,No But I Might,No But I Might,1821,37,12,HS Diploma,Female,4,Allowed,White,2
Working,No And I Will Not,No And I Will Not,1825,44,12,HS Diploma,Female,2,Allowed,White,1
Lower,No And I Will Not,No And I Will Not,1826,63,12,HS Diploma,Male,7,Allowed,White,0
Middle,No But I Might,No But I Might,1827,43,9,Less Than HS,Male,2,Not allowed,Hispanic,0
Middle,Before Last Year,Before Last Year,1829,58,12,HS Diploma,Male,6,Not allowed,White,7
Middle,Before Last Year,In Past Year,1830,57,19,Grad/Prof Degree,Male,7,Allowed,White,8
Middle,No But I Might,No But I Might,1836,75,16,College Degree,Female,3,Not allowed,White,4
Middle,In Past Year,In Past Year,1844,21,14,HS Diploma,Female,6,Allowed,White,6
Working,No And I Will Not,No And I Will Not,1845,32,12,HS Diploma,Male,4,Not allowed,White,0
Working,No And I Will Not,No But I Might,1846,45,14,HS Diploma,Female,4,Allowed,White,3
Working,No And I Will Not,No And I Will Not,1853,61,12,HS Diploma,Female,4,Allowed,White,1
Working,Before Last Year,Before Last Year,1854,30,16,College Degree,Female,2,Allowed,White,6
Working,No But I Might,No But I Might,1855,73,14,HS Diploma,Female,4,Not allowed,White,0
Middle,No But I Might,No But I Might,1859,57,18,Grad/Prof Degree,Female,4,Allowed,White,0
Working,No And I Will Not,No But I Might,1860,45,17,HS Diploma,Female,5,Allowed,White,2
Lower,No And I Will Not,No And I Will Not,1861,32,16,Some College,Female,4,Allowed,Black,2
Working,No And I Will Not,No And I Will Not,1864,85,12,HS Diploma,Male,5,Not allowed,White,2
Middle,No And I Will Not,No But I Might,1865,68,13,HS Diploma,Female,4,Not allowed,White,1
Working,Before Last Year,Before Last Year,1866,59,12,HS Diploma,Female,4,Allowed,White,6
Middle,No But I Might,No But I Might,1867,54,12,HS Diploma,Male,5,Allowed,White,3
Lower,No But I Might,In Past Year,1868,40,15,HS Diploma,Male,1,Allowed,White,7
Working,Before Last Year,In Past Year,1872,74,13,HS Diploma,Male,4,Allowed,White,5
Working,No But I Might,No But I Might,1873,68,12,HS Diploma,Male,6,Not allowed,White,1
Middle,No And I Will Not,No And I Will Not,1874,48,18,Grad/Prof Degree,Female,4,Not allowed,Other,2
Working,No But I Might,No But I Might,1875,79,12,HS Diploma,Male,7,Allowed,White,3
Middle,Before Last Year,Before Last Year,1878,88,11,Less Than HS,Female,4,Allowed,White,3
Middle,No And I Will Not,No But I Might,1886,40,18,Grad/Prof Degree,Female,6,Not allowed,White,2
Working,No But I Might,Before Last Year,1887,42,13,HS Diploma,Female,6,Not allowed,White,2
Working,No And I Will Not,No But I Might,1892,42,14,Some College,Female,4,Allowed,White,1
Middle,No But I Might,No But I Might,1897,57,16,College Degree,Female,2,Allowed,White,1
Working,Before Last Year,In Past Year,1898,40,16,College Degree,Female,4,Not allowed,White,6
Middle,Before Last Year,Before Last Year,1906,40,14,HS Diploma,Male,6,Allowed,White,8
Middle,No And I Will Not,In Past Year,1907,85,12,HS Diploma,Female,6,Allowed,White,5
Working,Before Last Year,No But I Might,1908,44,12,HS Diploma,Male,4,Allowed,Black,5
Working,No And I Will Not,No And I Will Not,1915,89,12,HS Diploma,Male,4,Allowed,White,0
Middle,No But I Might,In Past Year,1927,28,16,HS Diploma,Male,4,Allowed,Black,5
Working,No But I Might,No And I Will Not,1930,30,12,HS Diploma,Male,5,Not allowed,White,1
Middle,No And I Will Not,No And I Will Not,1937,86,14,HS Diploma,Male,4,Allowed,White,1
Working,No But I Might,No And I Will Not,1941,66,12,HS Diploma,Female,4,Allowed,White,1
Middle,No But I Might,No And I Will Not,1945,35,11,Less Than HS,Male,4,Not allowed,White,2
Working,No And I Will Not,No But I Might,1946,56,12,HS Diploma,Male,4,Allowed,Black,2
Working,No And I Will Not,No And I Will Not,1959,75,9,Less Than HS,Female,7,Not allowed,White,0
Working,No But I Might,No But I Might,1961,68,15,HS Diploma,Male,6,Allowed,White,2
Middle,No And I Will Not,Before Last Year,1962,60,18,Grad/Prof Degree,Female,4,Allowed,White,7
Middle,No And I Will Not,No And I Will Not,1963,56,12,HS Diploma,Female,4,Allowed,Black,0
Middle,Before Last Year,No And I Will Not,1968,62,17,HS Diploma,Male,2,Allowed,Black,5
Working,No But I Might,Before Last Year,1969,31,17,College Degree,Female,3,Not allowed,Black,4
Middle,No But I Might,No And I Will Not,1975,72,16,HS Diploma,Female,5,Not allowed,Hispanic,2
Working,No But I Might,Before Last Year,1978,39,18,Grad/Prof Degree,Female,6,Not allowed,Black,2
Working,In Past Year,No But I Might,1984,27,12,HS Diploma,Male,4,Not allowed,White,6
Middle,Before Last Year,No But I Might,1985,53,12,HS Diploma,Female,7,Allowed,White,6
Middle,No But I Might,No But I Might,1988,45,11,HS Diploma,Female,4,Allowed,White,2
Lower,No And I Will Not,No And I Will Not,1989,68,8,Less Than HS,Female,3,Not allowed,Hispanic,1
Lower,No But I Might,Before Last Year,1990,64,14,HS Diploma,Female,6,Allowed,White,5
Working,No And I Will Not,No But I Might,1991,30,16,College Degree,Female,4,Not allowed,White,0
Middle,No But I Might,No But I Might,1993,21,12,HS Diploma,Male,2,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,1994,66,12,HS Diploma,Female,6,Not allowed,White,2
Middle,Before Last Year,No And I Will Not,1999,20,13,HS Diploma,Female,4,Not allowed,White,1
Working,No And I Will Not,No But I Might,2002,76,12,Less Than HS,Male,4,Allowed,White,1
Middle,Before Last Year,Before Last Year,2005,71,18,Grad/Prof Degree,Female,3,Allowed,White,7
Working,No And I Will Not,No And I Will Not,2010,81,7,Less Than HS,Male,4,Allowed,Hispanic,1
Working,No But I Might,No And I Will Not,2014,43,15,Some College,Female,6,Not allowed,Hispanic,0
