class,joindem,attrally,id,age,educ,degree,sex,polviews,racespeech,racehisp,num_action
Working,No But I Might,No But I Might,3,60,13,HS Diploma,Male,5,Allowed,White,3
Middle,Before Last Year,Before Last Year,6,57,17,College Degree,Female,5,Allowed,White,6
Working,No And I Will Not,No And I Will Not,10,31,15,Some College,Female,3,Allowed,Hispanic,2
Working,No And I Will Not,No And I Will Not,13,70,8,Less Than HS,Male,3,Allowed,White,0
Lower,No And I Will Not,No And I Will Not,17,52,13,HS Diploma,Female,7,Not allowed,Other,0
Working,No And I Will Not,No And I Will Not,18,47,13,HS Diploma,Male,4,Allowed,White,0
Middle,No And I Will Not,No And I Will Not,20,40,8,Less Than HS,Female,4,Not allowed,Hispanic,0
Working,No But I Might,No But I Might,25,39,15,HS Diploma,Female,2,Allowed,Hispanic,0
Working,Before Last Year,Before Last Year,30,55,16,College Degree,Male,1,Allowed,White,7
Working,Before Last Year,No And I Will Not,34,48,16,College Degree,Male,4,Allowed,White,4
Lower,No And I Will Not,Before Last Year,37,39,11,Less Than HS,Female,3,Not allowed,Hispanic,1
Middle,No But I Might,Before Last Year,41,62,17,College Degree,Female,4,Allowed,White,6
Middle,No And I Will Not,No And I Will Not,47,31,15,Some College,Male,6,Not allowed,White,1
Middle,No And I Will Not,No And I Will Not,48,60,11,HS Diploma,Male,4,Allowed,White,0
Working,No But I Might,No But I Might,53,30,14,Some College,Male,2,Not allowed,Hispanic,4
Middle,Before Last Year,No And I Will Not,55,52,18,Grad/Prof Degree,Male,5,Allowed,Other,3
Lower,Before Last Year,Before Last Year,57,64,15,HS Diploma,Female,5,Allowed,White,6
Working,No But I Might,No But I Might,61,52,16,Grad/Prof Degree,Male,5,Allowed,White,2
Middle,No And I Will Not,No But I Might,64,48,16,Grad/Prof Degree,Female,4,Allowed,Other,2
Middle,No But I Might,No But I Might,65,35,20,Grad/Prof Degree,Male,5,Not allowed,Other,0
Upper,No But I Might,No But I Might,66,70,16,Grad/Prof Degree,Male,2,Allowed,White,6
Upper,No And I Will Not,Before Last Year,67,66,16,College Degree,Female,7,Not allowed,White,1
Working,No And I Will Not,No But I Might,69,25,16,College Degree,Male,5,Allowed,White,1
Working,No But I Might,No But I Might,70,33,12,HS Diploma,Male,4,Not allowed,White,0
Middle,In Past Year,In Past Year,75,40,20,Grad/Prof Degree,Female,2,Allowed,White,8
Upper,Before Last Year,In Past Year,78,59,16,College Degree,Female,3,Not allowed,White,5
Working,No And I Will Not,No And I Will Not,82,41,10,Less Than HS,Female,2,Allowed,Hispanic,0
Working,No But I Might,No And I Will Not,88,42,16,College Degree,Male,4,Allowed,Black,0
Middle,No And I Will Not,No And I Will Not,92,73,12,HS Diploma,Female,4,Not allowed,Hispanic,0
Middle,Before Last Year,Before Last Year,93,28,16,College Degree,Female,3,Allowed,Black,7
Working,No But I Might,No But I Might,96,27,14,Some College,Female,5,Not allowed,Black,1
Working,No But I Might,Before Last Year,97,29,13,HS Diploma,Female,4,Allowed,Hispanic,3
Working,No But I Might,No But I Might,98,38,12,HS Diploma,Female,6,Not allowed,Black,1
Middle,No But I Might,No But I Might,99,18,17,Grad/Prof Degree,Female,4,Not allowed,Black,3
Working,No But I Might,No But I Might,103,66,12,HS Diploma,Female,6,Not allowed,Black,1
Middle,Before Last Year,Before Last Year,119,45,20,Grad/Prof Degree,Male,2,Not allowed,Hispanic,7
Working,Before Last Year,Before Last Year,121,42,16,College Degree,Male,2,Allowed,White,8
Middle,Before Last Year,In Past Year,126,69,19,Grad/Prof Degree,Female,4,Allowed,White,7
Working,No But I Might,No But I Might,129,30,16,Some College,Female,4,Not allowed,Black,1
Working,Before Last Year,No And I Will Not,133,55,14,HS Diploma,Female,4,Not allowed,Black,4
Middle,Before Last Year,Before Last Year,134,65,18,Grad/Prof Degree,Female,2,Allowed,Black,5
Middle,No But I Might,No But I Might,136,31,20,Grad/Prof Degree,Female,3,Allowed,Hispanic,3
Middle,No But I Might,No But I Might,137,62,20,Grad/Prof Degree,Male,7,Allowed,White,3
Working,No And I Will Not,No And I Will Not,139,42,20,Grad/Prof Degree,Male,4,Allowed,Hispanic,0
Middle,No And I Will Not,No But I Might,140,58,16,College Degree,Female,5,Not allowed,Other,2
Middle,No But I Might,No But I Might,142,41,20,Grad/Prof Degree,Male,6,Allowed,White,1
Working,No But I Might,Before Last Year,148,46,18,Grad/Prof Degree,Female,2,Allowed,White,5
Lower,In Past Year,No And I Will Not,159,52,6,Less Than HS,Male,5,Not allowed,Hispanic,2
Middle,No And I Will Not,No And I Will Not,166,83,12,HS Diploma,Female,4,Allowed,White,0
Working,No But I Might,No But I Might,167,51,14,Some College,Female,4,Allowed,White,4
Working,No But I Might,Before Last Year,173,56,14,Some College,Male,6,Allowed,Hispanic,3
Middle,No But I Might,In Past Year,174,63,17,Grad/Prof Degree,Female,5,Allowed,White,5
Middle,No And I Will Not,Before Last Year,175,78,12,HS Diploma,Female,4,Not allowed,White,3
Middle,No But I Might,No But I Might,176,47,16,College Degree,Male,2,Allowed,White,5
Working,Before Last Year,Before Last Year,189,49,16,College Degree,Male,3,Allowed,Black,4
Working,No And I Will Not,No But I Might,190,32,14,HS Diploma,Male,4,Not allowed,Black,3
Working,No And I Will Not,No And I Will Not,193,27,12,HS Diploma,Female,2,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,194,55,10,Less Than HS,Female,4,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,196,80,12,HS Diploma,Female,4,Not allowed,White,1
Working,No And I Will Not,No And I Will Not,198,28,12,HS Diploma,Male,2,Allowed,Hispanic,2
Working,Before Last Year,No And I Will Not,202,26,13,HS Diploma,Male,4,Allowed,Black,2
Lower,No And I Will Not,No And I Will Not,204,35,5,Less Than HS,Female,4,Allowed,Black,1
Working,No But I Might,No And I Will Not,207,35,11,HS Diploma,Female,2,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,208,23,11,Less Than HS,Female,4,Allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,212,55,6,Less Than HS,Female,5,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,216,20,12,HS Diploma,Male,4,Allowed,Black,0
Middle,No But I Might,No But I Might,218,47,16,HS Diploma,Male,4,Allowed,Other,4
Upper,Before Last Year,Before Last Year,227,62,17,Grad/Prof Degree,Male,2,Allowed,White,6
Lower,No And I Will Not,No And I Will Not,228,79,13,HS Diploma,Female,4,Not allowed,Black,0
Middle,Before Last Year,No But I Might,233,38,14,Some College,Male,2,Allowed,Hispanic,2
Working,No But I Might,No But I Might,238,31,16,College Degree,Female,2,Not allowed,White,2
Lower,No And I Will Not,No And I Will Not,240,47,5,Less Than HS,Female,5,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,245,59,2,Less Than HS,Male,4,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,248,89,12,HS Diploma,Male,7,Allowed,White,0
Working,No But I Might,No But I Might,255,46,12,HS Diploma,Female,4,Allowed,White,5
Middle,No And I Will Not,No And I Will Not,262,43,11,Less Than HS,Female,5,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,265,81,11,Less Than HS,Female,4,Not allowed,White,1
Middle,No But I Might,Before Last Year,272,82,16,College Degree,Male,6,Allowed,White,5
Middle,No And I Will Not,No And I Will Not,273,64,16,College Degree,Female,5,Not allowed,Black,0
Working,Before Last Year,No But I Might,274,49,12,HS Diploma,Male,4,Not allowed,Black,3
Middle,No And I Will Not,No And I Will Not,275,49,12,HS Diploma,Female,4,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,276,58,13,HS Diploma,Male,5,Allowed,Black,1
Middle,No And I Will Not,No And I Will Not,277,30,14,HS Diploma,Female,2,Not allowed,Hispanic,2
Middle,No And I Will Not,No And I Will Not,289,40,10,Less Than HS,Female,5,Allowed,Hispanic,0
Working,No But I Might,In Past Year,291,40,15,HS Diploma,Female,6,Allowed,White,6
Middle,No And I Will Not,Before Last Year,294,82,10,Less Than HS,Female,4,Not allowed,White,2
Working,No And I Will Not,In Past Year,297,32,15,HS Diploma,Female,3,Allowed,White,3
Middle,Before Last Year,Before Last Year,298,62,12,HS Diploma,Male,7,Allowed,Hispanic,5
Middle,No But I Might,No But I Might,303,85,16,Grad/Prof Degree,Female,5,Allowed,White,2
Middle,No And I Will Not,No And I Will Not,308,79,8,Less Than HS,Female,2,Not allowed,White,1
Working,No And I Will Not,No And I Will Not,310,74,11,Less Than HS,Female,6,Allowed,Hispanic,1
Middle,No But I Might,No But I Might,312,31,20,Grad/Prof Degree,Female,3,Allowed,White,4
Working,No And I Will Not,No And I Will Not,315,41,12,HS Diploma,Female,5,Allowed,Black,0
Working,No And I Will Not,No But I Might,326,51,12,HS Diploma,Female,4,Not allowed,Hispanic,1
Working,No But I Might,No But I Might,327,37,9,HS Diploma,Female,3,Not allowed,Hispanic,3
Middle,No But I Might,No But I Might,328,35,15,HS Diploma,Female,3,Allowed,Hispanic,2
Middle,Before Last Year,Before Last Year,341,40,18,HS Diploma,Female,3,Allowed,Other,7
Middle,In Past Year,In Past Year,350,43,20,Grad/Prof Degree,Female,2,Not allowed,White,8
Middle,No But I Might,Before Last Year,351,71,18,Grad/Prof Degree,Male,6,Allowed,White,6
Middle,No But I Might,No And I Will Not,353,54,13,HS Diploma,Female,3,Not allowed,White,2
Working,No But I Might,No But I Might,356,29,13,HS Diploma,Male,2,Allowed,Other,2
Lower,No And I Will Not,No But I Might,359,36,11,Less Than HS,Female,4,Allowed,White,6
Middle,Before Last Year,In Past Year,360,51,16,Grad/Prof Degree,Female,2,Allowed,White,6
Working,No But I Might,Before Last Year,363,33,17,HS Diploma,Female,1,Allowed,White,6
Middle,No But I Might,No But I Might,366,50,16,College Degree,Male,6,Allowed,White,4
Middle,No But I Might,No But I Might,369,50,16,College Degree,Female,4,Allowed,White,3
Upper,No And I Will Not,No And I Will Not,372,68,20,Grad/Prof Degree,Male,4,Allowed,Other,1
Middle,No And I Will Not,No But I Might,373,70,16,College Degree,Female,6,Allowed,White,2
Middle,No But I Might,In Past Year,374,66,15,HS Diploma,Male,5,Not allowed,White,3
Middle,No But I Might,No But I Might,375,53,12,HS Diploma,Male,6,Allowed,White,4
Middle,Before Last Year,No But I Might,377,61,13,HS Diploma,Male,2,Allowed,White,2
Middle,No And I Will Not,No But I Might,380,37,18,Grad/Prof Degree,Female,4,Not allowed,White,1
Working,No And I Will Not,No But I Might,382,20,10,Less Than HS,Male,4,Not allowed,White,0
Lower,No And I Will Not,No And I Will Not,387,39,15,Some College,Female,4,Not allowed,Black,1
Middle,Before Last Year,Before Last Year,400,65,16,College Degree,Female,2,Allowed,White,7
Working,No But I Might,No But I Might,401,42,12,HS Diploma,Female,4,Allowed,White,3
Working,No But I Might,No But I Might,402,59,12,HS Diploma,Male,6,Allowed,White,2
Middle,No And I Will Not,No But I Might,411,36,19,Grad/Prof Degree,Male,3,Allowed,White,2
Working,No And I Will Not,No And I Will Not,412,73,13,HS Diploma,Female,6,Allowed,White,1
Working,No But I Might,No But I Might,417,38,16,College Degree,Female,3,Allowed,Black,5
Middle,No But I Might,No But I Might,418,36,17,College Degree,Female,3,Not allowed,White,3
Middle,No But I Might,No But I Might,419,63,13,HS Diploma,Female,4,Not allowed,Black,1
Working,No And I Will Not,Before Last Year,421,71,16,College Degree,Male,6,Allowed,White,4
Middle,No But I Might,Before Last Year,425,56,20,Grad/Prof Degree,Male,5,Allowed,White,5
Middle,No And I Will Not,No And I Will Not,429,43,9,Less Than HS,Male,4,Not allowed,Hispanic,0
Middle,No But I Might,No But I Might,434,19,11,Less Than HS,Female,3,Allowed,Black,1
Middle,Before Last Year,Before Last Year,435,42,11,HS Diploma,Male,4,Allowed,White,8
Middle,No But I Might,No But I Might,436,57,18,Grad/Prof Degree,Male,6,Allowed,White,4
Middle,No And I Will Not,No But I Might,437,46,12,HS Diploma,Male,4,Allowed,White,1
Working,No But I Might,In Past Year,440,26,16,Grad/Prof Degree,Female,3,Not allowed,Other,4
Middle,No And I Will Not,No And I Will Not,442,37,20,Grad/Prof Degree,Male,4,Allowed,White,1
Working,No But I Might,No But I Might,443,66,12,HS Diploma,Male,2,Allowed,White,4
Working,In Past Year,In Past Year,453,32,19,Grad/Prof Degree,Male,4,Allowed,Black,6
Middle,Before Last Year,Before Last Year,454,33,20,Grad/Prof Degree,Male,1,Allowed,White,7
Lower,No And I Will Not,No But I Might,460,66,13,HS Diploma,Male,4,Not allowed,White,4
Middle,No And I Will Not,No And I Will Not,462,46,18,Grad/Prof Degree,Female,4,Not allowed,White,1
Working,Before Last Year,Before Last Year,467,61,12,HS Diploma,Male,2,Not allowed,Other,7
Middle,Before Last Year,No But I Might,468,39,9,Less Than HS,Male,5,Not allowed,White,3
Working,No But I Might,No But I Might,474,25,17,HS Diploma,Female,4,Not allowed,White,1
Middle,No But I Might,Before Last Year,477,56,16,College Degree,Female,4,Allowed,White,3
Middle,No And I Will Not,No But I Might,478,71,12,HS Diploma,Male,5,Allowed,White,2
Working,No And I Will Not,In Past Year,480,64,13,HS Diploma,Male,6,Allowed,White,2
Middle,No But I Might,Before Last Year,481,70,16,College Degree,Female,4,Allowed,White,4
Lower,In Past Year,In Past Year,484,44,19,Grad/Prof Degree,Male,5,Allowed,White,8
Working,No But I Might,No And I Will Not,485,32,12,Less Than HS,Male,5,Allowed,White,1
Upper,Before Last Year,Before Last Year,490,48,18,Grad/Prof Degree,Female,3,Allowed,White,7
Working,No But I Might,No And I Will Not,491,55,16,College Degree,Female,3,Allowed,Other,2
Upper,Before Last Year,Before Last Year,494,55,18,Grad/Prof Degree,Female,2,Allowed,White,4
Middle,Before Last Year,Before Last Year,495,58,18,Grad/Prof Degree,Female,2,Allowed,White,7
Middle,No And I Will Not,No But I Might,498,70,12,Less Than HS,Male,4,Not allowed,White,1
Working,In Past Year,No But I Might,500,66,13,HS Diploma,Female,4,Not allowed,Other,1
Middle,Before Last Year,Before Last Year,504,55,16,College Degree,Male,3,Allowed,White,7
Middle,No But I Might,Before Last Year,507,41,16,Grad/Prof Degree,Female,4,Not allowed,Other,4
Middle,No And I Will Not,No And I Will Not,510,59,16,HS Diploma,Female,4,Allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,511,38,15,HS Diploma,Female,4,Not allowed,Black,0
Working,Before Last Year,In Past Year,513,61,17,Some College,Female,7,Allowed,Hispanic,6
Working,No But I Might,Before Last Year,522,38,16,Some College,Female,1,Allowed,Black,3
Middle,Before Last Year,No But I Might,531,29,17,College Degree,Male,1,Allowed,White,6
Working,No But I Might,No But I Might,537,34,12,HS Diploma,Female,5,Not allowed,Hispanic,1
Middle,No But I Might,No But I Might,538,43,17,College Degree,Female,3,Allowed,White,3
Working,No And I Will Not,No And I Will Not,544,31,16,College Degree,Female,2,Not allowed,White,2
Middle,No And I Will Not,No But I Might,549,65,16,College Degree,Female,5,Allowed,White,3
Middle,No But I Might,Before Last Year,552,51,17,College Degree,Male,4,Allowed,White,7
Working,No But I Might,Before Last Year,553,39,16,College Degree,Female,6,Not allowed,Hispanic,6
Middle,No And I Will Not,No And I Will Not,557,50,14,HS Diploma,Female,2,Allowed,White,3
Middle,No But I Might,Before Last Year,562,69,13,HS Diploma,Female,6,Allowed,White,5
Working,No But I Might,No But I Might,564,54,12,HS Diploma,Male,6,Allowed,White,3
Upper,No And I Will Not,Before Last Year,568,45,16,College Degree,Female,6,Allowed,White,3
Upper,Before Last Year,In Past Year,569,57,14,HS Diploma,Male,2,Allowed,Black,8
Upper,No And I Will Not,No And I Will Not,570,32,13,Less Than HS,Female,1,Allowed,Black,1
Middle,No And I Will Not,No But I Might,581,73,20,Grad/Prof Degree,Female,5,Allowed,White,4
Working,No And I Will Not,No And I Will Not,584,55,16,College Degree,Female,5,Allowed,White,1
Lower,No And I Will Not,No And I Will Not,589,48,13,HS Diploma,Male,4,Not allowed,Black,0
Working,No And I Will Not,Before Last Year,591,43,15,HS Diploma,Female,4,Not allowed,Black,1
Middle,No But I Might,No But I Might,593,67,15,HS Diploma,Male,7,Allowed,White,1
Working,No And I Will Not,No And I Will Not,597,59,13,HS Diploma,Female,2,Not allowed,White,1
Working,No And I Will Not,Before Last Year,598,77,14,Some College,Female,4,Not allowed,White,3
Middle,Before Last Year,No But I Might,599,67,16,College Degree,Male,2,Not allowed,Black,2
Middle,No And I Will Not,No And I Will Not,606,62,12,HS Diploma,Female,4,Allowed,White,1
Middle,No But I Might,No And I Will Not,615,30,16,College Degree,Male,4,Not allowed,Other,2
Upper,No But I Might,No But I Might,616,37,16,College Degree,Male,2,Allowed,White,2
Working,No But I Might,No But I Might,624,41,16,College Degree,Male,2,Allowed,Other,2
Middle,Before Last Year,Before Last Year,632,42,13,HS Diploma,Male,1,Allowed,White,8
Lower,Before Last Year,Before Last Year,636,31,13,HS Diploma,Male,5,Not allowed,White,6
Working,No But I Might,In Past Year,639,27,14,Some College,Female,4,Allowed,Black,4
Working,No But I Might,No But I Might,643,51,13,HS Diploma,Female,4,Not allowed,White,2
Middle,Before Last Year,Before Last Year,646,54,14,HS Diploma,Male,4,Allowed,White,4
Lower,No But I Might,No And I Will Not,647,32,13,HS Diploma,Female,5,Not allowed,White,0
Middle,Before Last Year,No And I Will Not,648,38,17,College Degree,Female,4,Not allowed,Black,3
Middle,Before Last Year,No But I Might,650,41,19,Grad/Prof Degree,Female,1,Allowed,White,5
Working,No But I Might,Before Last Year,655,58,15,HS Diploma,Male,4,Allowed,White,5
Middle,Before Last Year,No And I Will Not,658,25,13,HS Diploma,Female,5,Not allowed,Black,1
Working,No And I Will Not,No And I Will Not,660,63,12,HS Diploma,Female,5,Allowed,Black,3
Working,Before Last Year,No And I Will Not,662,55,12,HS Diploma,Male,4,Not allowed,Black,1
Working,In Past Year,Before Last Year,666,28,12,HS Diploma,Female,4,Not allowed,Black,5
Middle,No But I Might,In Past Year,667,37,16,College Degree,Male,5,Allowed,White,7
Middle,No And I Will Not,Before Last Year,669,60,12,HS Diploma,Female,5,Not allowed,White,4
Working,No But I Might,No But I Might,670,64,13,HS Diploma,Male,7,Allowed,White,3
Middle,No But I Might,No But I Might,673,37,18,Grad/Prof Degree,Female,6,Allowed,Black,3
Working,No But I Might,No But I Might,691,62,16,College Degree,Female,6,Not allowed,White,2
Middle,In Past Year,No But I Might,696,34,16,College Degree,Female,6,Not allowed,White,4
Middle,No And I Will Not,Before Last Year,698,35,16,College Degree,Female,4,Allowed,White,6
Working,Before Last Year,Before Last Year,701,40,20,Grad/Prof Degree,Male,2,Allowed,Black,6
Upper,No And I Will Not,No And I Will Not,702,71,12,HS Diploma,Female,4,Not allowed,Black,1
Working,No But I Might,No But I Might,707,58,12,HS Diploma,Male,5,Not allowed,White,1
Working,No But I Might,Before Last Year,709,54,11,HS Diploma,Male,5,Allowed,White,5
Middle,No But I Might,No But I Might,713,88,12,HS Diploma,Female,6,Allowed,White,3
Working,No But I Might,No But I Might,719,22,12,HS Diploma,Male,4,Not allowed,Black,3
Upper,In Past Year,In Past Year,721,60,8,Less Than HS,Female,5,Allowed,Black,6
Working,No And I Will Not,No And I Will Not,723,38,6,Less Than HS,Male,4,Not allowed,Hispanic,0
Working,No But I Might,No But I Might,729,54,16,College Degree,Female,4,Allowed,Black,2
Middle,No But I Might,No But I Might,735,53,10,Less Than HS,Female,6,Allowed,White,2
Middle,No And I Will Not,No But I Might,736,49,12,HS Diploma,Female,6,Not allowed,White,4
Middle,No But I Might,No But I Might,745,30,12,HS Diploma,Male,4,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,746,33,14,Some College,Female,4,Not allowed,Black,1
Working,No But I Might,No But I Might,748,49,20,College Degree,Female,3,Allowed,Hispanic,0
Working,No But I Might,No But I Might,749,54,12,HS Diploma,Male,4,Not allowed,Hispanic,1
Working,No And I Will Not,No And I Will Not,750,46,11,Less Than HS,Male,4,Not allowed,Hispanic,0
Working,No But I Might,No But I Might,754,80,9,Less Than HS,Male,4,Not allowed,Black,3
Middle,Before Last Year,No But I Might,760,73,8,Less Than HS,Female,6,Not allowed,Hispanic,1
Middle,No And I Will Not,No And I Will Not,762,80,12,HS Diploma,Male,4,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,764,76,12,HS Diploma,Female,5,Not allowed,Hispanic,0
Middle,No But I Might,No But I Might,772,41,20,Grad/Prof Degree,Male,6,Allowed,Hispanic,2
Lower,No But I Might,No But I Might,780,19,13,HS Diploma,Female,5,Allowed,Black,3
Working,No But I Might,No But I Might,781,34,13,HS Diploma,Male,4,Allowed,Hispanic,1
Working,Before Last Year,No And I Will Not,782,43,12,HS Diploma,Male,7,Allowed,White,3
Middle,Before Last Year,No And I Will Not,786,41,19,Grad/Prof Degree,Female,4,Allowed,White,4
Working,No But I Might,Before Last Year,790,67,13,HS Diploma,Male,3,Not allowed,Black,2
Middle,No But I Might,No And I Will Not,792,50,13,HS Diploma,Male,3,Not allowed,Black,3
Middle,No And I Will Not,No And I Will Not,797,57,10,Less Than HS,Female,2,Allowed,Black,1
Working,Before Last Year,In Past Year,798,27,15,HS Diploma,Male,4,Allowed,Black,5
Working,No But I Might,No But I Might,799,27,16,HS Diploma,Female,3,Not allowed,Black,2
Middle,Before Last Year,Before Last Year,800,21,12,HS Diploma,Male,4,Not allowed,White,5
Middle,No But I Might,Before Last Year,807,54,19,Grad/Prof Degree,Male,6,Allowed,White,5
Middle,No But I Might,No But I Might,808,38,19,College Degree,Male,5,Allowed,White,1
Working,No And I Will Not,No And I Will Not,810,55,8,Less Than HS,Male,1,Allowed,Hispanic,0
Lower,No But I Might,Before Last Year,812,38,16,Some College,Female,2,Allowed,Black,5
Lower,Before Last Year,No And I Will Not,814,23,12,HS Diploma,Male,7,Allowed,White,2
Working,No But I Might,No And I Will Not,818,57,12,HS Diploma,Female,2,Not allowed,White,3
Working,No But I Might,No But I Might,823,54,11,HS Diploma,Female,4,Not allowed,White,2
Working,No But I Might,No But I Might,827,37,14,Some College,Female,2,Allowed,White,3
Working,No And I Will Not,No And I Will Not,829,32,16,HS Diploma,Female,4,Allowed,White,0
Lower,No But I Might,No But I Might,833,24,13,HS Diploma,Female,5,Allowed,Black,3
Working,No But I Might,No But I Might,836,20,14,Some College,Female,4,Allowed,Black,0
Middle,No But I Might,No But I Might,837,74,14,HS Diploma,Female,1,Not allowed,White,3
Working,Before Last Year,No But I Might,839,74,16,College Degree,Female,2,Not allowed,White,5
Middle,Before Last Year,Before Last Year,844,68,17,College Degree,Female,3,Allowed,White,6
Upper,No And I Will Not,No And I Will Not,845,62,18,Grad/Prof Degree,Female,4,Allowed,Other,2
Middle,No But I Might,Before Last Year,847,40,16,College Degree,Female,2,Allowed,White,6
Middle,No But I Might,No But I Might,858,60,12,HS Diploma,Female,6,Not allowed,Black,0
Middle,Before Last Year,No But I Might,862,61,19,Grad/Prof Degree,Female,2,Allowed,White,5
Lower,In Past Year,No And I Will Not,870,55,14,Less Than HS,Female,6,Not allowed,Hispanic,4
Middle,Before Last Year,Before Last Year,872,53,20,Grad/Prof Degree,Male,5,Allowed,White,8
Middle,No And I Will Not,No And I Will Not,876,39,10,Less Than HS,Female,3,Allowed,Hispanic,0
Middle,No But I Might,No But I Might,878,32,13,HS Diploma,Male,4,Not allowed,White,3
Working,No And I Will Not,No And I Will Not,879,57,16,HS Diploma,Female,5,Not allowed,Black,0
Working,Before Last Year,Before Last Year,880,35,17,Grad/Prof Degree,Male,4,Allowed,White,4
Middle,No And I Will Not,No And I Will Not,885,69,7,Less Than HS,Male,6,Not allowed,Hispanic,0
Lower,No And I Will Not,No And I Will Not,888,72,8,Less Than HS,Female,4,Not allowed,White,2
Middle,No But I Might,Before Last Year,889,31,16,College Degree,Female,6,Allowed,White,5
Middle,Before Last Year,Before Last Year,891,29,14,HS Diploma,Female,4,Allowed,White,2
Middle,No But I Might,Before Last Year,892,61,20,Grad/Prof Degree,Male,6,Allowed,White,7
Working,No But I Might,No But I Might,893,38,12,HS Diploma,Male,5,Allowed,White,4
Middle,No But I Might,No But I Might,896,20,13,HS Diploma,Male,3,Not allowed,White,2
Middle,No And I Will Not,No But I Might,907,60,13,HS Diploma,Female,7,Allowed,White,3
Working,No And I Will Not,No But I Might,909,33,14,HS Diploma,Female,4,Allowed,Other,2
Working,No And I Will Not,No And I Will Not,914,45,8,Less Than HS,Female,2,Allowed,Other,0
Working,No And I Will Not,No But I Might,915,45,12,HS Diploma,Male,3,Not allowed,Hispanic,0
Middle,No But I Might,In Past Year,921,54,16,College Degree,Male,6,Allowed,White,5
Working,No And I Will Not,No But I Might,925,61,12,HS Diploma,Male,5,Allowed,White,3
Middle,No And I Will Not,Before Last Year,926,55,8,Less Than HS,Female,6,Not allowed,Other,5
Working,No And I Will Not,Before Last Year,927,39,16,College Degree,Female,4,Not allowed,Hispanic,2
Working,Before Last Year,Before Last Year,931,60,12,HS Diploma,Male,4,Allowed,White,6
Middle,No But I Might,No But I Might,933,38,14,HS Diploma,Male,2,Not allowed,White,0
Working,No And I Will Not,No And I Will Not,938,28,11,Less Than HS,Female,4,Not allowed,Hispanic,0
Middle,No But I Might,Before Last Year,951,72,18,Grad/Prof Degree,Female,3,Not allowed,White,6
