"county_fips","name","hhincome"
48317,"Martin County, TX",43033
38017,"Cass County, ND",43025
55121,"Trempealeau County, WI",43002
19121,"Madison County, IA",42993
19157,"Poweshiek County, IA",42963
27169,"Winona County, MN",42951
48165,"Gaines County, TX",42937
46081,"Lawrence County, SD",42931
27043,"Faribault County, MN",42915
27135,"Roseau County, MN",42888
19001,"Adair County, IA",42886
31073,"Gosper County, NE",42885
8115,"Sedgwick County, CO",42830
27119,"Polk County, MN",42825
25021,"Norfolk County, MA",42806
19123,"Mahaska County, IA",42798
6075,"San Francisco County, CA",42796
20129,"Morton County, KS",42793
19041,"Clay County, IA",42789
8121,"Washington County, CO",42775
56029,"Park County, WY",42749
19129,"Mills County, IA",42738
55099,"Price County, WI",42734
31105,"Kimball County, NE",42726
19069,"Franklin County, IA",42723
20065,"Graham County, KS",42707
19107,"Keokuk County, IA",42691
27091,"Martin County, MN",42686
30101,"Toole County, MT",42627
31145,"Red Willow County, NE",42601
48371,"Pecos County, TX",42587
20171,"Scott County, KS",42561
27161,"Waseca County, MN",42553
8103,"Rio Blanco County, CO",42551
16051,"Jefferson County, ID",42547
27049,"Goodhue County, MN",42534
27097,"Morrison County, MN",42532
29151,"Osage County, MO",42510
31185,"York County, NE",42495
55119,"Taylor County, WI",42489
40073,"Kingfisher County, OK",42488
55029,"Door County, WI",42485
8019,"Clear Creek County, CO",42477
31033,"Cheyenne County, NE",42448
16003,"Adams County, ID",42442
19067,"Floyd County, IA",42412
30103,"Treasure County, MT",42405
51610,"Falls Church city, VA",42364
56015,"Goshen County, WY",42322
27001,"Aitkin County, MN",42306
29147,"Nodaway County, MO",42285
30079,"Prairie County, MT",42284
20181,"Sherman County, KS",42258
17079,"Jasper County, IL",42250
19073,"Greene County, IA",42240
55109,"St. Croix County, WI",42238
18037,"Dubois County, IN",42236
19029,"Cass County, IA",42230
8021,"Conejos County, CO",42221
19173,"Taylor County, IA",42184
32011,"Eureka County, NV",42112
19169,"Story County, IA",42013
8107,"Routt County, CO",42007
46129,"Walworth County, SD",41980
19059,"Dickinson County, IA",41950
27083,"Lyon County, MN",41940
41069,"Wheeler County, OR",41910
16023,"Butte County, ID",41902
46035,"Davison County, SD",41884
20197,"Wabaunsee County, KS",41884
53037,"Kittitas County, WA",41870
27139,"Scott County, MN",41867
31183,"Wheeler County, NE",41832
55019,"Clark County, WI",41800
46029,"Codington County, SD",41773
27171,"Wright County, MN",41767
48389,"Reeves County, TX",41751
51107,"Loudoun County, VA",41747
20167,"Russell County, KS",41732
46023,"Charles Mix County, SD",41729
46031,"Corson County, SD",41726
48425,"Somervell County, TX",41721
31101,"Keith County, NE",41704
17067,"Hancock County, IL",41695
20163,"Rooks County, KS",41691
46135,"Yankton County, SD",41635
31019,"Buffalo County, NE",41621
31131,"Otoe County, NE",41560
19171,"Tama County, IA",41557
20031,"Coffey County, KS",41533
34019,"Hunterdon County, NJ",41526
19117,"Lucas County, IA",41521
40151,"Woods County, OK",41507
