"id","hrs1","class","region","racehisp"
578,30,"Working","South","White"
579,25,"Working","South","Hispanic"
580,40,"Working","South","Black"
581,40,"Working","South","White"
583,40,"Working","South","White"
584,15,"Lower","Midwest","Black"
588,55,"Working","Midwest","White"
590,25,"Middle","Midwest","White"
591,32,"Working","Midwest","White"
593,40,"Middle","Midwest","White"
594,20,"Working","Midwest","White"
595,45,"Middle","Midwest","White"
596,45,"Working","Midwest","White"
597,60,"Middle","Midwest","White"
598,45,"Middle","Midwest","White"
599,35,"Middle","Midwest","White"
601,50,"Upper","Midwest","White"
602,43,"Working","Midwest","White"
603,23,"Middle","South","White"
604,40,"Middle","South","White"
605,25,"Working","South","Black"
606,50,"Working","South","Other"
607,58,"Middle","South","White"
609,40,"Middle","South","White"
610,40,"Working","South","White"
611,40,"Working","South","White"
614,40,"Working","South","White"
615,30,"Middle","South","White"
617,50,"Working","South","White"
618,45,"Working","South","White"
619,46,"Working","South","White"
620,35,"Middle","South","White"
621,36,"Middle","South","White"
622,64,"Working","South","Black"
623,7,"Middle","South","Hispanic"
625,45,"Middle","South","White"
627,70,"Working","South","White"
628,40,"Working","South","White"
629,44,"Working","South","White"
630,40,"Middle","South","White"
632,12,"Middle","South","Hispanic"
633,46,"Middle","South","White"
638,40,"Middle","Midwest","White"
641,50,"Middle","Midwest","White"
642,45,"Working","Midwest","White"
644,40,"Working","Midwest","White"
645,50,"Working","Midwest","White"
648,35,"Middle","Midwest","White"
649,24,"Working","Midwest","Black"
651,30,"Working","Midwest","Black"
653,60,"Middle","South","White"
655,15,"Working","South","White"
657,50,"Middle","South","White"
658,40,"Middle","South","Hispanic"
659,38,"Working","South","Black"
662,40,"Working","South","Black"
663,40,"Middle","South","White"
665,30,"Middle","South","White"
666,30,"Middle","South","White"
667,40,"Middle","South","White"
671,40,"Middle","South","White"
673,41,"Middle","South","White"
674,60,"Middle","South","White"
676,80,"Middle","South","Other"
677,40,"Working","South","Black"
678,40,"Middle","South","White"
679,50,"Middle","South","White"
680,18,"Working","South","Black"
681,40,"Lower","South","Black"
684,40,"Working","West","Hispanic"
685,36,"Working","West","Hispanic"
687,40,"Lower","West","Hispanic"
688,40,"Middle","West","Other"
689,60,"Middle","West","Other"
690,40,"Middle","West","Black"
691,40,"Middle","West","Other"
692,34,"Middle","West","White"
693,40,"Upper","West","Other"
694,40,"Middle","West","White"
695,40,"Working","West","Hispanic"
697,40,"Working","West","White"
698,60,"Working","West","Hispanic"
699,50,"Middle","West","White"
700,28,"Middle","West","White"
702,40,"Working","West","White"
705,50,"Middle","West","White"
707,8,"Middle","West","Black"
711,45,"Middle","West","White"
712,12,"Working","West","White"
713,40,"Working","West","Hispanic"
714,40,"Middle","West","White"
716,50,"Middle","West","White"
717,40,"Working","West","White"
719,46,"Working","West","White"
720,50,"Middle","West","White"
721,50,"Middle","West","White"
722,62,"Working","West","White"
723,50,"Working","Middle Atlantic","White"
727,40,"Working","Middle Atlantic","White"
728,40,"Working","Middle Atlantic","White"
729,50,"Middle","Middle Atlantic","White"
730,55,"Working","Middle Atlantic","White"
732,60,"Working","Middle Atlantic","White"
733,40,"Working","Middle Atlantic","White"
734,40,"Working","Middle Atlantic","White"
735,23,"Working","Middle Atlantic","White"
736,55,"Middle","Middle Atlantic","White"
737,30,"Middle","West","White"
738,45,"Working","West","White"
739,16,"Working","West","Hispanic"
740,45,"Working","West","White"
742,40,"Middle","West","Black"
744,50,"Working","West","White"
747,60,"Middle","West","White"
748,40,"Middle","West","White"
751,40,"Lower","Midwest","Black"
752,12,"Working","Midwest","Black"
754,20,"Middle","Midwest","Black"
755,40,"Lower","Midwest","White"
756,56,"Working","Midwest","White"
762,70,"Middle","New England","Black"
763,30,"Working","New England","Black"
764,30,"Middle","New England","White"
765,80,"Middle","New England","White"
767,37,"Middle","New England","White"
769,45,"Middle","New England","Black"
770,80,"Working","New England","White"
772,32,"Middle","New England","White"
775,50,"Middle","New England","White"
777,38,"Middle","New England","White"
778,40,"Lower","New England","White"
781,52,"Middle","New England","White"
783,50,"Middle","Middle Atlantic","White"
784,40,"Working","Middle Atlantic","White"
785,40,"Working","Middle Atlantic","Black"
786,19,"Working","Middle Atlantic","White"
791,25,"Middle","Middle Atlantic","White"
